@relation amazonReview
@attribute "Unrestricted Type-Token ratio" numeric
@attribute "Guiraud's R" numeric
@attribute "Herdan's C" numeric
@attribute "Dugast's k" numeric
@attribute "Tuldava's LN" numeric
@attribute "Yule's K" numeric
@attribute "Honore's H" numeric
@attribute "Yule's K" numeric
@attribute "Entropy" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
.025,.955,.494,1.808,-.138,618.126,725.841,.139,16.738,Duff
.025,1.011,.502,1.855,-.135,614.218,740.489,.098,16.620,Duff
.030,1.059,.508,1.848,-.140,643.488,716.085,.105,19.023,Duff
.024,.965,.495,1.831,-.135,643.573,739.817,.128,15.975,Duff
.037,1.167,.522,1.868,-.145,608.961,691.374,.108,22.656,Duff
.039,1.298,.537,1.933,-.143,576.466,700.125,.047,24.264,Duff
.028,1.065,.509,1.862,-.138,607.694,725.205,.050,18.453,Duff
.027,1.085,.511,1.884,-.136,613.262,735.883,.093,17.990,Duff
.040,1.279,.535,1.918,-.144,589.080,693.537,.122,24.288,Duff
.040,1.337,.541,1.952,-.142,577.500,703.262,.133,24.160,Duff
.032,1.086,.512,1.848,-.142,603.812,705.618,.135,20.801,Duff
.041,1.204,.528,1.863,-.148,606.631,673.934,.086,25.065,Duff
.022,.848,.477,1.756,-.136,639.167,732.383,.091,14.911,Duff
.031,1.087,.512,1.855,-.141,611.237,710.824,.211,19.294,Duff
.026,.999,.500,1.839,-.136,608.735,732.975,.051,16.945,Duff
.026,1.064,.508,1.880,-.135,655.356,739.756,.023,17.316,Duff
.028,1.105,.514,1.895,-.136,575.398,736.834,.045,18.367,Duff
.023,.907,.487,1.795,-.136,638.242,736.265,.139,15.367,Duff
.028,1.067,.509,1.862,-.138,645.329,724.850,.125,18.368,Duff
.024,.963,.495,1.824,-.136,618.332,735.052,.079,16.561,Duff
.023,.920,.489,1.805,-.135,646.504,738.956,.081,15.474,Duff
.043,1.274,.536,1.899,-.147,645.497,679.010,.079,25.363,Duff
.027,1.078,.510,1.883,-.136,631.191,737.275,.070,17.503,Duff
.028,1.118,.515,1.903,-.135,599.599,739.080,.178,17.922,Duff
.040,1.248,.532,1.899,-.145,616.465,688.346,.231,24.010,Duff
.038,1.196,.526,1.881,-.144,643.515,691.672,.132,22.814,Duff
.039,1.192,.526,1.867,-.147,587.236,681.564,.056,24.095,Duff
.037,1.225,.529,1.900,-.143,594.867,697.261,.100,23.488,Engineer
.036,1.232,.530,1.913,-.142,535.333,705.790,.024,23.008,Engineer
.039,1.295,.537,1.932,-.143,547.882,700.488,.000,23.645,Engineer
.055,1.486,.560,1.957,-.152,574.459,658.617,.150,31.507,Engineer
.043,1.258,.534,1.889,-.148,579.438,676.273,.027,26.101,Engineer
.040,1.269,.534,1.910,-.145,602.620,690.174,.100,24.351,Engineer
.065,1.570,.571,1.964,-.157,555.714,637.332,.132,35.525,Engineer
.039,1.262,.533,1.914,-.144,595.252,696.130,.122,24.080,Engineer
.045,1.359,.545,1.935,-.147,580.353,681.344,.073,26.871,Engineer
.035,1.207,.526,1.907,-.141,569.341,709.920,.119,22.140,Engineer
.035,1.207,.526,1.907,-.141,569.341,709.920,.119,22.140,Engineer
.040,1.315,.539,1.937,-.143,567.266,697.448,.140,24.638,Engineer
.030,1.115,.515,1.886,-.138,546.867,725.771,.095,19.524,Engineer
.031,1.117,.515,1.874,-.140,598.248,715.696,.050,19.829,Engineer
.031,1.118,.516,1.875,-.140,598.157,715.383,.050,19.990,Engineer
.038,1.256,.533,1.913,-.143,596.698,697.073,.146,23.462,Engineer
.032,1.164,.521,1.897,-.139,617.682,717.089,.095,20.273,Engineer
.032,1.176,.522,1.905,-.139,624.915,719.893,.093,20.214,Engineer
.029,1.136,.517,1.902,-.137,569.065,731.255,.045,19.867,Engineer
.043,1.390,.547,1.963,-.144,589.045,695.464,.089,26.323,Engineer
.031,1.161,.521,1.908,-.137,563.383,726.962,.091,19.844,Engineer
.052,1.402,.551,1.928,-.151,615.725,659.987,.079,29.265,Engineer
.056,1.496,.561,1.959,-.152,581.212,657.228,.100,31.077,Engineer
.044,1.440,.552,1.983,-.143,570.601,697.073,.149,26.674,Engineer
.038,1.149,.520,1.850,-.146,572.201,683.303,.114,23.335,Engineer
.045,1.391,.548,1.953,-.146,574.581,686.276,.023,26.367,Engineer
.038,1.160,.522,1.853,-.147,570.452,681.454,.114,23.759,Engineer
.034,1.238,.530,1.930,-.139,573.839,718.690,.067,21.979,Engineer
.036,1.268,.533,1.937,-.140,592.266,713.807,.156,22.234,Engineer
.032,1.162,.521,1.897,-.139,565.777,717.472,.095,20.453,Engineer
.038,1.203,.527,1.882,-.145,598.080,690.575,.158,23.022,Engineer
.034,1.189,.524,1.897,-.141,582.498,708.087,.024,22.049,Engineer
.037,1.198,.526,1.888,-.143,587.125,696.508,.051,22.669,Engineer
.057,1.493,.561,1.953,-.153,580.727,652.503,.077,33.194,Engineer
.031,1.098,.513,1.864,-.140,577.147,714.045,.103,20.251,Engineer
.046,1.354,.545,1.929,-.148,559.630,677.194,.050,27.584,Engineer
.039,1.213,.528,1.885,-.145,579.689,688.857,.026,24.313,Engineer
.058,1.386,.551,1.893,-.158,594.764,634.036,.091,32.909,Engineer
.057,1.533,.565,1.972,-.152,546.824,657.228,.146,32.113,Engineer
.040,1.254,.533,1.900,-.145,573.175,687.420,.103,24.639,Engineer
.040,1.254,.533,1.900,-.145,573.175,687.420,.103,24.639,Engineer
.029,1.113,.515,1.891,-.137,587.634,730.787,.000,18.654,Engineer
.028,1.107,.514,1.890,-.137,586.211,731.920,.023,18.683,Engineer
.038,1.221,.529,1.893,-.144,562.535,692.854,.026,23.409,Engineer
.035,1.220,.528,1.916,-.140,606.153,712.448,.093,21.532,Engineer
.041,1.336,.541,1.946,-.143,577.802,698.841,.136,24.587,Engineer
.044,1.288,.537,1.902,-.148,587.353,676.964,.158,26.190,Engineer
.040,1.310,.539,1.935,-.143,580.182,698.193,.116,24.397,Engineer
.027,.964,.495,1.796,-.140,600.848,712.689,.088,17.762,Engineer
.041,1.160,.522,1.839,-.149,603.612,669.703,.091,24.723,Engineer
.030,1.157,.520,1.907,-.137,578.176,727.725,.182,19.446,Goonan
.028,1.068,.509,1.869,-.137,592.588,729.641,.073,18.231,Goonan
.030,1.129,.517,1.889,-.138,609.493,723.201,.071,19.660,Goonan
.039,1.233,.530,1.895,-.145,594.920,690.875,.051,23.795,Goonan
.029,1.070,.509,1.863,-.138,626.907,724.280,.150,17.949,Goonan
.030,1.058,.508,1.841,-.141,627.326,710.906,.081,19.438,Goonan
.029,.999,.500,1.805,-.142,642.008,705.445,.088,18.451,Goonan
.025,.959,.494,1.816,-.137,609.038,730.586,.054,16.658,Goonan
.036,1.225,.529,1.911,-.141,589.085,706.987,.071,21.916,Goonan
.033,1.161,.521,1.891,-.140,598.567,712.930,.195,20.476,Goonan
.031,.982,.497,1.777,-.145,633.649,690.375,.000,19.681,Goonan
.036,1.095,.513,1.822,-.147,634.776,681.124,.091,22.087,Goonan
.027,.916,.488,1.759,-.142,600.393,704.316,.065,18.090,Goonan
.031,1.052,.507,1.833,-.141,605.198,706.647,.028,19.565,Goonan
.034,1.172,.522,1.887,-.142,614.894,706.048,.075,21.626,Goonan
.032,1.103,.514,1.859,-.141,586.757,707.834,.053,20.542,Goonan
.026,.941,.491,1.790,-.139,632.169,717.472,.059,16.942,Goonan
.034,1.186,.524,1.896,-.141,608.865,708.674,.049,21.854,Goonan
.035,1.094,.513,1.829,-.145,584.608,687.316,.088,21.739,Goonan
.035,1.063,.509,1.807,-.147,607.344,680.904,.031,22.104,Goonan
.028,.942,.492,1.775,-.142,636.215,705.012,.094,17.948,Goonan
.032,.995,.499,1.781,-.145,624.902,687.730,.032,20.412,Goonan
.037,1.149,.520,1.857,-.145,632.930,688.959,.167,22.077,Goonan
.025,.831,.474,1.708,-.142,629.153,703.439,.036,16.077,Goonan
.035,1.117,.516,1.849,-.144,620.403,694.505,.139,21.708,Goonan
.032,1.092,.512,1.849,-.142,607.472,704.578,.054,20.669,Goonan
.028,1.054,.507,1.859,-.137,621.692,727.170,.050,18.250,Goonan
.021,.813,.472,1.730,-.137,636.914,728.207,.000,14.644,Goonan
.031,1.092,.512,1.862,-.140,628.943,715.149,.077,19.369,Goonan
.029,1.091,.512,1.874,-.138,582.168,725.205,.049,19.011,Goonan
.026,.933,.490,1.787,-.139,624.223,719.143,.059,17.413,Goonan
.032,1.160,.521,1.896,-.139,611.017,717.931,.071,20.751,Goonan
.026,.947,.492,1.791,-.139,623.382,716.240,.029,17.126,Goonan
.029,.966,.495,1.781,-.143,595.433,700.033,.062,18.549,Goonan
.029,1.082,.511,1.866,-.138,587.147,721.964,.050,18.765,Goonan
.043,1.317,.540,1.920,-.146,617.669,682.763,.125,25.704,Goonan
.036,1.200,.526,1.894,-.142,603.529,701.392,.075,22.150,Goonan
.033,1.156,.520,1.890,-.140,602.585,713.728,.049,20.089,Goonan
.035,1.038,.505,1.792,-.147,629.927,679.347,.032,20.962,Goonan
.031,1.023,.503,1.811,-.143,625.990,700.760,.088,19.955,Goonan
.040,1.224,.530,1.881,-.147,604.228,681.783,.108,24.578,Goonan
.022,.870,.481,1.770,-.136,615.632,733.237,.059,15.247,Goonan
.041,1.254,.533,1.894,-.146,603.734,682.329,.105,24.973,Goonan
.025,.915,.488,1.782,-.138,657.225,723.129,.088,16.284,Goonan
.030,1.103,.514,1.871,-.139,620.827,718.159,.100,19.024,Goonan
.035,1.067,.509,1.815,-.146,621.105,686.276,.030,21.257,Goonan
.036,1.090,.513,1.821,-.146,617.573,682.111,.121,21.630,Goonan
.040,1.228,.530,1.888,-.146,611.924,686.380,.105,24.345,Goonan
.038,1.176,.524,1.863,-.146,629.168,684.268,.083,23.107,Goonan
.029,.960,.494,1.779,-.142,605.373,701.392,.000,18.830,Goonan
.078,1.508,.569,1.895,-.169,568.955,591.350,.103,40.347,Grove
.080,1.469,.566,1.871,-.171,583.225,582.305,.037,41.101,Grove
.058,1.314,.544,1.855,-.160,625.145,625.575,.067,32.060,Grove
.024,.844,.476,1.730,-.140,632.704,714.125,.100,15.917,Grove
.031,1.119,.516,1.875,-.140,646.973,715.305,.125,19.531,Grove
.034,1.076,.511,1.825,-.145,646.322,690.675,.029,21.236,Grove
.031,.964,.495,1.764,-.145,648.489,687.523,.033,19.827,Grove
.035,1.190,.525,1.897,-.141,615.109,708.003,.122,21.387,Grove
.026,.974,.496,1.813,-.138,595.899,722.037,.056,17.434,Grove
.043,1.208,.528,1.858,-.150,639.842,667.456,.118,25.328,Grove
.046,1.179,.525,1.821,-.154,642.963,647.235,.033,27.338,Grove
.034,1.131,.518,1.865,-.142,630.761,702.820,.184,20.401,Grove
.031,1.071,.510,1.844,-.141,610.905,708.423,.162,19.779,Grove
.036,1.177,.523,1.876,-.144,631.454,694.890,.158,21.854,Grove
.055,1.349,.547,1.885,-.156,686.933,639.359,.182,30.457,Grove
.023,.889,.484,1.775,-.137,636.176,728.756,.147,15.614,Grove
.026,.893,.484,1.753,-.141,599.005,709.423,.000,16.698,Grove
.028,1.083,.511,1.878,-.137,637.887,731.655,.095,17.922,Grove
.031,1.097,.513,1.863,-.140,640.704,714.283,.128,19.525,Grove
.033,1.103,.514,1.852,-.142,622.876,702.643,.054,20.202,Grove
.045,1.201,.528,1.842,-.152,646.241,656.526,.031,26.175,Grove
.072,1.370,.554,1.838,-.170,601.003,588.610,.077,38.035,Grove
.064,1.384,.553,1.872,-.162,602.580,615.273,.167,35.072,Grove
.025,.945,.492,1.805,-.137,626.668,727.932,.056,16.370,Grove
.033,1.180,.523,1.901,-.140,593.783,714.362,.119,20.681,Grove
.031,1.022,.503,1.811,-.143,662.606,700.941,.118,19.674,Grove
.047,1.150,.522,1.797,-.156,595.509,638.519,.071,27.670,Grove
.028,1.007,.501,1.821,-.140,619.555,715.305,.056,18.532,Grove
.032,1.121,.516,1.869,-.141,605.712,709.920,.179,19.921,Grove
.025,.890,.484,1.760,-.139,643.222,716.472,.062,16.642,Grove
.022,.848,.477,1.756,-.136,648.777,732.317,.000,14.736,Grove
.026,.974,.496,1.820,-.137,616.214,727.517,.108,16.776,Grove
.025,.961,.495,1.816,-.137,618.520,730.115,.054,16.536,Grove
.023,.861,.479,1.752,-.138,624.281,723.129,.031,15.342,Grove
.031,.990,.499,1.788,-.144,621.679,695.081,.062,19.793,Grove
.027,1.004,.501,1.827,-.139,608.610,721.450,.081,17.708,Grove
.027,.991,.499,1.817,-.139,645.437,718.539,.028,17.810,Grove
.023,.894,.485,1.777,-.137,653.751,727.725,.088,15.621,Grove
.034,1.043,.506,1.801,-.146,642.205,684.801,.031,21.534,Grove
.030,1.113,.515,1.879,-.139,616.194,721.303,.073,18.773,Grove
.034,1.049,.507,1.803,-.146,605.885,683.518,.125,21.833,Grove
.029,.987,.498,1.802,-.141,653.960,707.918,.147,18.191,Grove
.039,1.186,.525,1.866,-.146,656.747,682.655,.083,23.262,Grove
.024,.899,.485,1.771,-.139,603.916,720.564,.030,16.192,Grove
.027,1.002,.500,1.827,-.138,610.124,721.744,.054,17.639,Grove
.031,1.134,.517,1.890,-.138,635.614,722.402,.143,18.940,Grove
.041,1.072,.511,1.777,-.153,626.220,652.503,.036,25.222,Grove
.026,.918,.488,1.768,-.141,631.492,710.168,.031,17.243,Grove
.037,1.102,.514,1.824,-.147,657.971,679.794,.030,22.607,Grove
.034,1.057,.508,1.813,-.145,619.603,688.244,.091,21.344,Grove
.132,2.179,.639,2.078,-.178,564.478,560.947,.028,55.823,Harp
.030,1.131,.517,1.889,-.138,610.213,722.984,.048,19.495,Harp
.031,1.165,.521,1.908,-.138,623.460,726.333,.091,19.982,Harp
.030,1.075,.510,1.858,-.139,599.292,718.159,.051,18.874,Harp
.027,1.074,.510,1.876,-.136,612.871,733.302,.095,18.245,Harp
.031,1.165,.521,1.908,-.138,623.460,726.333,.091,19.982,Harp
.032,1.168,.521,1.904,-.139,653.966,721.229,.093,20.232,Harp
.031,1.214,.526,1.935,-.137,584.458,731.322,.149,19.931,Harp
.028,1.124,.516,1.904,-.135,594.971,738.026,.156,18.462,Harp
.037,1.254,.532,1.918,-.142,603.649,702.198,.095,23.363,Harp
.031,1.185,.523,1.919,-.137,592.998,727.309,.200,19.512,Harp
.027,1.081,.511,1.883,-.136,633.058,736.645,.140,17.633,Harp
.031,1.145,.519,1.893,-.139,605.514,720.415,.095,19.842,Harp
.038,1.279,.535,1.929,-.142,618.570,703.086,.163,22.205,Harp
.029,1.147,.519,1.910,-.136,603.841,733.889,.089,18.982,Harp
.035,1.262,.533,1.935,-.140,595.150,714.756,.133,22.221,Harp
.026,.989,.499,1.824,-.138,668.828,724.351,.054,16.895,Harp
.043,1.338,.542,1.936,-.145,572.919,689.366,.095,26.021,Harp
.030,1.117,.515,1.886,-.138,611.335,725.488,.048,18.902,Harp
.026,1.000,.500,1.840,-.136,628.618,732.712,.128,17.378,Harp
.025,1.054,.507,1.883,-.134,633.122,746.279,.091,17.008,Harp
.042,1.207,.528,1.864,-.148,612.925,673.459,.086,24.827,Harp
.034,1.241,.530,1.936,-.138,598.362,722.475,.087,20.466,Harp
.029,1.093,.512,1.875,-.138,627.035,724.922,.171,18.680,Harp
.026,.989,.499,1.824,-.138,638.866,724.351,.135,17.135,Harp
.048,1.405,.550,1.945,-.148,626.901,674.759,.171,27.772,Harp
.047,1.390,.549,1.942,-.148,565.530,676.849,.122,27.585,Harp
.033,1.210,.527,1.919,-.139,614.282,718.690,.114,20.937,Harp
.047,1.434,.553,1.967,-.146,625.752,684.801,.091,26.434,Harp
.031,1.038,.505,1.822,-.142,655.738,703.703,.086,19.303,Harp
.032,1.137,.518,1.885,-.139,643.036,717.012,.122,19.862,Harp
.030,1.102,.513,1.871,-.139,581.726,718.387,.100,19.560,Harp
.032,1.200,.525,1.922,-.138,587.160,724.922,.133,20.429,Harp
.040,1.301,.538,1.928,-.144,625.504,694.890,.071,24.654,Harp
.042,1.292,.537,1.915,-.146,613.567,686.485,.125,25.000,Harp
.036,1.180,.524,1.883,-.143,640.046,699.668,.077,21.707,Harp
.025,1.040,.505,1.879,-.133,640.628,749.053,.205,16.125,Harp
.029,1.068,.509,1.863,-.138,621.817,724.637,.175,18.006,Harp
.035,1.215,.528,1.909,-.141,620.362,708.506,.143,21.656,Harp
.026,1.072,.509,1.887,-.135,605.950,743.011,.159,17.056,Harp
.026,1.025,.503,1.858,-.135,637.176,737.776,.122,16.799,Harp
.030,1.157,.520,1.912,-.137,584.395,732.119,.067,19.328,Harp
.028,1.021,.503,1.832,-.139,623.973,718.083,.108,18.262,Harp
.035,1.064,.509,1.807,-.147,645.741,680.683,.094,21.481,Harp
.030,1.137,.518,1.897,-.138,603.888,726.543,.093,19.477,Harp
.033,1.195,.525,1.910,-.139,582.060,716.627,.209,20.859,Harp
.031,1.120,.516,1.881,-.139,645.033,720.117,.171,19.637,Harp
.028,1.111,.514,1.896,-.136,686.242,735.756,.159,17.997,Harp
.037,1.182,.524,1.878,-.144,625.862,694.022,.132,22.898,Harp
.037,1.255,.532,1.923,-.141,641.374,706.817,.186,22.119,Harp
.044,1.288,.537,1.902,-.148,660.920,676.849,.132,25.859,Hayes
.031,1.133,.517,1.890,-.138,646.870,722.548,.143,19.208,Hayes
.028,1.043,.506,1.850,-.138,640.706,724.351,.128,17.598,Hayes
.048,1.264,.536,1.864,-.153,622.436,652.503,.030,28.009,Hayes
.031,.941,.491,1.749,-.146,648.787,685.646,.034,19.333,Hayes
.034,1.032,.505,1.791,-.147,624.901,680.572,.065,21.785,Hayes
.037,1.182,.524,1.878,-.144,616.340,694.022,.026,22.227,Hayes
.024,.923,.489,1.792,-.137,609.932,727.031,.057,16.430,Hayes
.038,1.216,.528,1.892,-.144,613.210,693.537,.103,22.940,Hayes
.040,1.166,.523,1.847,-.148,619.289,674.641,.059,23.583,Hayes
.031,1.130,.517,1.883,-.139,607.309,718.311,.122,20.324,Hayes
.059,1.472,.560,1.937,-.155,613.559,644.889,.135,32.580,Hayes
.033,1.156,.520,1.890,-.140,627.911,713.648,.098,20.442,Hayes
.035,1.140,.519,1.861,-.144,642.524,696.035,.054,21.058,Hayes
.033,1.102,.514,1.852,-.142,615.042,702.820,.054,20.186,Hayes
.026,1.013,.502,1.843,-.137,619.687,730.182,.077,16.748,Hayes
.027,.980,.497,1.814,-.139,623.797,720.786,.056,17.557,Hayes
.038,1.197,.526,1.881,-.144,643.001,691.572,.132,22.496,Hayes
.034,1.186,.524,1.896,-.141,571.183,708.674,.049,21.898,Hayes
.035,1.097,.514,1.830,-.145,605.827,686.693,.118,22.017,Hayes
.030,1.014,.502,1.809,-.142,610.268,702.554,.029,19.529,Hayes
.037,1.067,.510,1.800,-.148,629.043,673.815,.000,22.411,Hayes
.062,1.530,.566,1.956,-.156,595.893,642.487,.026,34.274,Hayes
.024,.970,.496,1.838,-.134,609.641,743.780,.225,15.392,Hayes
.042,1.179,.525,1.844,-.150,633.595,666.313,.030,25.327,Hayes
.043,1.240,.532,1.879,-.148,613.228,673.697,.028,24.967,Hayes
.029,.929,.489,1.754,-.144,666.388,694.986,.000,18.293,Hayes
.052,1.362,.547,1.907,-.153,619.790,654.965,.139,30.057,Hayes
.038,1.204,.527,1.883,-.145,619.012,690.375,.053,23.391,Hayes
.027,.909,.486,1.757,-.142,634.639,705.962,.032,17.242,Hayes
.038,1.288,.536,1.936,-.142,569.143,706.219,.068,23.987,Hayes
.022,.860,.479,1.760,-.137,635.144,729.506,.061,15.208,Hayes
.035,1.121,.516,1.850,-.144,613.390,693.828,.139,21.781,Hayes
.038,1.197,.526,1.881,-.145,618.678,691.473,.105,23.736,Hayes
.031,1.087,.512,1.855,-.141,633.891,710.743,.079,19.663,Hayes
.035,1.176,.523,1.882,-.143,627.545,700.307,.103,22.072,Hayes
.056,1.474,.559,1.949,-.153,643.980,655.108,.077,30.192,Hayes
.035,1.079,.511,1.818,-.146,659.414,684.162,.030,21.639,Hayes
.034,1.121,.516,1.857,-.143,633.170,699.302,.162,21.398,Hayes
.048,1.276,.537,1.874,-.152,597.481,656.526,.059,28.206,Hayes
.063,1.486,.563,1.929,-.158,615.177,631.897,.086,33.871,Hayes
.035,1.166,.522,1.880,-.142,630.510,701.930,.154,21.805,Hayes
.080,1.723,.589,1.991,-.163,613.822,613.340,.054,41.542,Hayes
.034,1.230,.529,1.928,-.139,595.031,719.893,.111,21.362,Hayes
.037,1.156,.521,1.859,-.145,601.654,687.626,.167,22.672,Hayes
.031,1.001,.500,1.790,-.144,639.617,692.952,.094,19.425,Hayes
.025,1.022,.503,1.858,-.135,656.795,738.275,.146,16.386,Hayes
.035,1.243,.530,1.926,-.140,612.439,713.409,.045,21.697,Hayes
.040,1.332,.541,1.945,-.143,598.114,699.577,.091,24.804,Hayes
.052,1.362,.547,1.907,-.153,619.790,654.965,.139,30.057,Hayes
.035,1.178,.523,1.889,-.142,599.973,705.012,.100,21.907,Janson
.036,1.175,.523,1.876,-.144,620.876,695.273,.026,22.582,Janson
.039,1.280,.535,1.923,-.143,633.102,698.101,.119,23.523,Janson
.041,1.286,.537,1.913,-.145,621.062,687.523,.075,24.781,Janson
.032,1.181,.523,1.912,-.138,580.449,723.490,.023,20.648,Janson
.037,1.212,.528,1.897,-.143,642.985,699.302,.100,22.038,Janson
.032,1.071,.510,1.838,-.142,622.332,702.909,.056,20.587,Janson
.031,1.081,.511,1.853,-.140,606.370,711.883,.053,19.419,Janson
.046,1.275,.537,1.880,-.151,671.365,662.407,.029,26.780,Janson
.041,1.168,.523,1.841,-.150,634.026,668.211,.061,25.027,Janson
.027,1.054,.507,1.865,-.136,625.707,732.185,.122,17.748,Janson
.027,1.058,.508,1.866,-.137,629.564,731.522,.049,18.257,Janson
.047,1.325,.542,1.904,-.150,596.203,665.929,.054,27.734,Janson
.037,1.178,.524,1.877,-.144,600.370,694.794,.079,22.647,Janson
.042,1.292,.537,1.915,-.146,592.298,686.485,.075,25.268,Janson
.078,1.809,.594,2.033,-.159,609.285,628.972,.167,40.448,Janson
.035,1.193,.525,1.898,-.141,605.157,707.412,.195,21.610,Janson
.033,1.093,.513,1.843,-.143,675.023,698.841,.111,20.702,Janson
.064,1.563,.570,1.963,-.157,597.141,638.182,.132,35.735,Janson
.042,1.366,.545,1.953,-.144,602.519,694.409,.114,25.620,Janson
.045,1.272,.536,1.886,-.149,633.992,668.586,.111,26.099,Janson
.039,1.241,.531,1.897,-.145,629.589,689.568,.103,24.339,Janson
.038,1.262,.533,1.919,-.143,578.505,701.031,.167,23.193,Janson
.035,1.120,.516,1.850,-.144,584.984,694.022,.139,21.957,Janson
.053,1.442,.556,1.942,-.152,597.368,659.441,.103,30.182,Janson
.042,1.242,.532,1.885,-.147,605.179,678.897,.108,24.930,Janson
.028,1.042,.506,1.850,-.138,605.894,724.494,.128,18.106,Janson
.041,1.166,.523,1.840,-.149,638.200,668.586,.152,24.610,Janson
.033,1.184,.524,1.907,-.139,609.979,718.387,.093,20.585,Janson
.041,1.293,.537,1.921,-.145,597.597,691.374,.098,24.458,Janson
.047,1.233,.532,1.850,-.153,638.929,651.323,.062,27.735,Janson
.072,1.681,.583,1.993,-.159,631.383,628.786,.154,37.866,Janson
.029,1.127,.516,1.900,-.136,616.612,732.844,.182,18.225,Janson
.029,1.166,.521,1.925,-.135,614.069,739.265,.085,18.502,Janson
.039,1.360,.543,1.966,-.141,609.324,708.590,.085,23.460,Janson
.030,1.155,.520,1.906,-.137,584.254,728.001,.068,19.896,Janson
.055,1.310,.543,1.861,-.158,659.917,632.794,.000,29.691,Janson
.028,1.123,.516,1.904,-.135,575.324,738.088,.089,18.248,Janson
.049,1.466,.556,1.974,-.147,565.373,680.351,.068,28.099,Janson
.043,1.262,.534,1.890,-.148,620.565,675.693,.135,25.777,Janson
.026,1.022,.503,1.851,-.136,649.243,733.433,.150,17.086,Janson
.028,1.066,.509,1.868,-.137,617.316,729.980,.073,17.608,Janson
.028,1.141,.518,1.914,-.135,605.262,739.326,.087,18.256,Janson
.035,1.255,.532,1.934,-.140,603.345,715.929,.156,21.646,Janson
.036,1.287,.535,1.946,-.140,625.568,715.305,.130,22.520,Janson
.047,1.469,.556,1.984,-.145,559.717,688.857,.109,27.481,Janson
.026,1.007,.501,1.841,-.137,610.783,731.255,.154,16.727,Janson
.030,1.113,.515,1.879,-.139,624.006,721.377,.146,19.499,Janson
.032,1.063,.509,1.829,-.143,626.329,698.934,.029,20.272,Janson
.037,1.306,.537,1.950,-.140,553.042,712.367,.065,22.998,Janson
.052,1.314,.542,1.876,-.155,650.214,644.731,.152,29.581,Johnson
.038,1.256,.532,1.918,-.142,610.457,702.019,.048,22.870,Johnson
.033,1.176,.523,1.900,-.140,598.406,715.149,.143,20.637,Johnson
.057,1.456,.558,1.934,-.154,583.706,647.080,.027,32.883,Johnson
.033,1.046,.506,1.810,-.145,630.000,690.375,.061,21.432,Johnson
.044,1.238,.532,1.872,-.150,613.862,668.336,.114,25.979,Johnson
.035,1.214,.527,1.909,-.141,589.618,708.757,.071,22.168,Johnson
.021,.826,.474,1.742,-.137,660.884,731.322,.062,14.559,Johnson
.070,1.352,.551,1.833,-.169,616.435,591.350,.077,36.584,Johnson
.028,.967,.495,1.797,-.140,612.375,711.883,.088,17.969,Johnson
.027,1.046,.506,1.857,-.137,597.962,728.756,.125,17.489,Johnson
.023,.873,.481,1.763,-.138,622.568,726.473,.121,15.589,Johnson
.029,1.059,.508,1.854,-.139,596.089,721.229,.128,18.830,Johnson
.039,1.171,.523,1.855,-.147,584.220,679.571,.086,23.332,Johnson
.046,1.180,.526,1.821,-.154,602.014,647.080,.067,27.384,Johnson
.027,1.017,.502,1.837,-.138,618.606,724.137,.079,17.784,Johnson
.043,1.157,.522,1.823,-.152,652.598,657.647,.161,25.971,Johnson
.039,1.303,.538,1.934,-.143,615.075,699.302,.070,23.771,Johnson
.026,.943,.492,1.790,-.139,606.880,716.935,.088,17.466,Johnson
.044,1.275,.536,1.893,-.148,632.627,673.578,.054,25.241,Johnson
.069,1.490,.565,1.911,-.163,577.966,613.340,.000,38.123,Johnson
.040,1.268,.534,1.909,-.145,596.884,690.274,.150,24.851,Johnson
.021,.865,.480,1.776,-.135,588.377,740.184,.086,14.699,Johnson
.024,.962,.495,1.823,-.136,621.068,735.308,.079,15.974,Johnson
.036,1.230,.529,1.912,-.142,586.052,706.133,.143,22.578,Johnson
.034,1.111,.515,1.847,-.144,594.476,695.655,.000,20.999,Johnson
.023,.866,.480,1.753,-.138,635.062,721.818,.031,15.713,Johnson
.036,1.208,.527,1.902,-.142,595.575,704.925,.049,22.237,Johnson
.035,1.124,.517,1.851,-.144,607.490,693.342,.111,21.523,Johnson
.028,1.067,.509,1.868,-.137,558.512,729.777,.098,18.637,Johnson
.034,1.200,.526,1.905,-.141,620.468,711.070,.119,21.656,Johnson
.028,1.024,.503,1.832,-.139,620.619,717.472,.108,18.014,Johnson
.036,1.139,.519,1.854,-.145,608.346,690.675,.056,22.428,Johnson
.092,1.603,.583,1.911,-.175,591.561,572.031,.143,45.750,Johnson
.040,1.180,.524,1.858,-.147,609.388,677.992,.086,24.126,Johnson
.038,1.225,.529,1.894,-.144,635.414,692.166,.128,22.792,Johnson
.029,1.090,.512,1.874,-.138,620.844,725.488,.049,18.695,Johnson
.032,1.037,.505,1.815,-.143,608.866,698.101,.088,19.583,Johnson
.025,.958,.494,1.815,-.137,589.826,730.854,.027,16.845,Johnson
