@relation amazonReview
@attribute "e" numeric
@attribute "t" numeric
@attribute "a" numeric
@attribute "o" numeric
@attribute "i" numeric
@attribute "s" numeric
@attribute "n" numeric
@attribute "r" numeric
@attribute "h" numeric
@attribute "l" numeric
@attribute "d" numeric
@attribute "c" numeric
@attribute "u" numeric
@attribute "m" numeric
@attribute "f" numeric
@attribute "y" numeric
@attribute "g" numeric
@attribute "p" numeric
@attribute "w" numeric
@attribute "b" numeric
@attribute "v" numeric
@attribute "k" numeric
@attribute "x" numeric
@attribute "j" numeric
@attribute "z" numeric
@attribute "q" numeric
@attribute class {Agresti, Ashbacher, Auken, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cutey, Davisson, Dent, Engineer, Goonan}
@data
99,60,58,59,57,45,48,42,38,30,31,24,22,21,16,17,13,11,13,14,3,10,1,2,0,1,Corn
146,117,99,103,91,74,83,59,74,60,41,42,39,30,23,26,26,16,13,33,24,17,1,3,0,1,Corn
163,121,114,110,105,88,93,75,79,45,45,39,24,37,35,19,35,23,21,21,12,11,1,0,0,0,Corn
121,86,95,91,66,67,80,53,56,47,39,24,26,26,18,23,17,16,26,28,16,15,4,3,0,0,Corn
97,71,56,69,69,47,53,52,39,33,31,25,17,21,27,11,21,15,14,10,14,9,0,2,1,0,Corn
131,102,84,105,71,68,70,63,69,42,30,41,33,21,37,31,19,29,23,28,12,21,2,0,0,1,Corn
128,87,75,86,78,72,70,52,64,31,47,39,32,23,18,8,17,17,16,17,15,8,0,2,1,0,Corn
107,80,62,69,78,50,59,35,36,43,32,21,23,24,13,20,9,19,13,15,21,8,1,2,1,1,Corn
38,37,31,30,36,32,35,16,17,18,16,13,14,7,8,11,14,7,4,11,6,5,0,0,0,0,Corn
82,56,58,65,42,37,47,37,33,23,29,22,18,11,14,19,6,14,13,15,8,5,7,1,0,1,Corn
113,87,64,77,53,58,51,63,37,35,28,41,30,24,21,13,18,23,18,14,4,6,0,1,0,1,Corn
119,91,77,85,100,65,65,59,58,51,52,34,20,23,23,23,22,21,24,24,12,9,1,3,0,1,Corn
173,116,95,116,92,104,99,78,68,38,54,40,26,40,27,29,34,26,29,26,24,9,2,2,0,1,Corn
104,77,74,62,76,50,57,49,40,35,30,19,28,23,19,18,22,20,20,16,9,7,2,2,0,0,Corn
68,65,52,43,30,35,35,26,18,23,19,17,24,14,9,18,2,9,12,21,1,4,3,0,0,1,Corn
132,122,108,83,91,79,67,55,68,37,40,33,30,30,33,32,24,18,24,26,18,7,0,1,1,0,Corn
89,69,43,42,47,42,37,44,37,17,26,19,11,6,10,12,10,10,16,6,1,6,1,0,0,0,Corn
134,150,114,100,110,83,107,54,82,32,58,27,39,35,23,11,29,18,19,27,16,19,1,4,0,0,Corn
128,96,96,101,82,80,68,58,58,49,38,23,30,29,28,23,33,39,28,25,6,11,2,3,4,0,Corn
148,142,104,119,109,77,91,78,57,46,55,40,54,26,30,38,21,37,18,24,16,9,4,1,0,1,Corn
148,135,111,110,96,83,80,58,75,63,39,26,31,36,23,29,31,21,29,37,10,15,2,4,0,0,Corn
135,108,110,97,109,73,77,80,64,58,32,32,38,37,24,27,33,31,22,28,12,9,1,1,2,0,Corn
136,118,75,84,61,60,76,64,64,41,33,26,30,29,16,29,26,20,17,16,14,8,2,1,0,0,Corn
79,74,64,68,61,53,52,39,37,36,29,22,30,15,15,21,14,8,23,22,7,15,1,2,1,0,Corn
74,76,62,60,62,40,44,43,49,34,21,21,34,18,19,25,14,12,14,19,5,7,0,2,0,1,Corn
102,85,70,97,62,66,60,52,56,29,36,40,21,21,20,11,17,18,19,11,11,12,1,0,3,1,Corn
76,58,54,50,47,41,55,40,38,25,39,20,25,18,14,21,13,12,14,5,19,4,0,1,1,0,Corn
100,92,79,91,64,76,47,54,34,34,40,28,41,25,17,27,15,28,29,13,8,6,2,3,0,1,Corn
124,127,90,100,86,82,61,75,65,37,43,30,28,19,29,33,27,22,20,13,8,7,2,1,0,0,Corn
66,54,35,51,48,32,33,31,26,29,27,14,17,10,11,14,13,13,13,7,7,6,0,1,1,2,Corn
117,96,83,101,65,41,73,59,59,58,37,27,30,31,12,23,32,23,27,18,17,7,2,0,0,0,Corn
91,70,62,69,54,55,60,42,38,35,25,22,23,30,13,17,21,14,14,16,6,9,0,5,0,0,Corn
97,78,55,60,70,58,52,49,42,21,29,22,26,22,19,10,11,17,17,10,9,2,2,1,0,2,Corn
133,84,69,83,63,55,64,63,49,32,31,23,27,14,16,27,15,28,29,16,17,9,0,1,1,1,Corn
149,103,93,103,78,82,73,69,50,42,50,51,41,24,17,31,29,28,24,22,14,10,3,1,2,1,Corn
111,86,91,88,82,80,50,61,41,43,52,36,37,21,32,27,20,35,18,15,14,7,3,0,0,3,Corn
146,115,101,99,102,94,80,72,62,57,38,32,28,37,24,25,25,31,25,29,10,11,2,3,0,1,Corn
72,48,43,26,45,26,33,27,21,26,18,13,10,8,12,14,11,10,16,5,11,4,2,2,2,1,Corn
154,108,97,108,85,73,89,77,58,46,27,24,33,23,22,26,37,28,32,25,18,7,0,1,5,1,Corn
125,89,83,78,76,63,81,51,51,42,44,29,27,27,21,19,26,20,21,14,9,13,3,1,0,2,Corn
172,126,97,97,99,70,92,57,65,52,63,45,37,28,21,25,30,37,28,11,10,13,4,1,2,1,Corn
125,111,81,89,68,63,70,61,48,49,35,28,40,36,18,20,22,29,25,11,10,8,0,2,1,1,Corn
136,102,93,85,82,69,81,67,63,55,50,34,37,20,27,28,20,20,17,21,13,14,1,1,0,3,Corn
138,138,95,92,98,80,85,68,49,48,51,26,37,29,21,26,11,19,31,17,9,9,3,2,0,3,Corn
98,71,69,56,57,58,51,49,26,31,35,21,38,20,13,25,11,12,19,9,9,7,7,0,0,0,Cutey
105,83,64,80,85,67,63,46,50,42,31,25,29,36,17,28,22,17,23,11,11,8,0,0,1,0,Cutey
99,88,64,65,65,62,52,48,42,29,35,25,37,15,22,13,22,14,17,8,4,12,2,0,0,0,Cutey
113,97,76,76,74,67,71,57,44,31,32,37,33,28,17,24,18,16,7,16,11,3,2,1,1,1,Cutey
126,109,64,104,87,72,77,62,60,46,39,23,45,30,31,33,28,16,27,15,8,17,5,2,1,1,Cutey
57,45,57,41,50,33,48,27,28,21,23,13,17,8,15,13,19,7,6,11,4,3,1,1,2,0,Cutey
95,75,63,65,51,52,35,48,33,42,20,16,31,18,10,23,11,9,13,11,12,11,1,4,0,0,Cutey
81,68,43,44,53,55,43,28,45,27,18,18,12,14,8,11,18,9,14,11,9,6,1,1,0,0,Cutey
98,93,81,77,52,58,48,43,40,44,39,23,29,18,20,29,26,8,12,16,10,8,1,0,0,1,Cutey
76,54,54,47,53,37,51,38,28,20,25,14,14,23,15,18,14,3,12,6,11,5,2,5,1,0,Cutey
71,84,60,58,59,47,55,30,51,27,27,23,20,18,17,19,22,5,16,6,11,3,0,4,1,2,Cutey
51,43,40,36,34,37,28,19,24,17,14,13,11,12,9,8,15,4,6,6,5,4,0,1,1,0,Cutey
85,55,51,59,53,55,45,23,46,38,23,12,20,17,18,22,12,5,9,10,19,5,0,1,0,0,Cutey
105,76,73,76,50,53,64,52,46,53,42,24,37,8,11,33,13,9,14,15,13,15,2,3,0,1,Cutey
67,48,50,53,45,46,37,35,32,33,23,11,18,12,14,18,21,5,14,12,10,4,1,0,1,1,Cutey
58,67,47,44,47,38,36,25,26,25,19,17,32,9,13,17,16,7,10,7,1,6,1,1,0,1,Cutey
89,80,74,69,61,41,53,37,35,37,44,13,22,13,10,28,17,4,25,8,9,7,2,1,1,0,Cutey
46,49,34,43,53,42,35,28,19,21,23,10,20,9,10,16,15,10,4,16,6,2,0,2,0,0,Cutey
94,86,70,74,75,45,60,50,33,35,47,17,24,18,22,31,31,6,16,10,7,11,1,0,0,1,Cutey
105,78,54,64,53,54,56,48,46,19,25,14,21,23,15,20,17,5,11,19,7,8,1,2,2,0,Cutey
99,69,79,67,69,62,63,33,55,32,33,18,19,19,21,23,25,13,22,9,10,15,0,0,0,1,Cutey
85,76,70,49,72,60,51,38,41,44,28,16,23,29,13,18,20,10,25,13,8,13,0,0,1,0,Cutey
97,115,74,100,79,58,74,54,56,39,30,22,45,18,26,20,23,10,23,18,11,12,2,0,0,1,Cutey
90,82,71,68,64,57,52,44,47,37,32,16,38,14,11,25,26,9,12,8,16,5,1,1,0,0,Cutey
56,59,43,57,30,25,32,38,19,20,21,11,15,10,13,24,9,10,6,4,9,6,0,0,0,0,Cutey
155,126,131,121,112,111,97,83,95,64,53,20,38,34,35,50,29,20,27,20,9,27,3,3,1,2,Cutey
109,102,73,83,75,64,75,42,47,48,36,34,54,15,28,35,19,17,19,16,14,9,2,3,0,1,Cutey
98,95,69,74,77,57,57,49,58,46,29,23,34,24,19,23,24,6,20,14,8,17,3,1,0,0,Cutey
94,84,62,54,60,44,50,36,37,35,24,15,15,22,14,17,22,12,18,9,10,10,1,3,0,0,Cutey
81,64,52,37,36,37,48,39,21,29,24,15,14,7,10,17,9,12,7,10,4,5,3,0,0,0,Cutey
63,63,53,53,52,46,45,23,25,39,32,15,13,14,13,10,13,4,2,10,12,7,0,0,0,1,Cutey
136,95,99,106,77,81,77,48,80,56,38,20,35,25,33,25,25,17,21,15,20,14,1,1,0,0,Cutey
77,62,53,49,60,41,48,41,26,30,24,20,24,14,12,9,13,7,11,17,8,3,2,2,0,1,Cutey
56,59,43,47,48,50,41,28,26,33,16,13,17,6,10,14,23,4,6,8,13,1,0,0,0,0,Cutey
92,75,70,71,62,52,49,40,26,41,31,18,22,18,17,39,20,10,10,13,8,6,4,3,1,0,Cutey
120,71,67,74,69,51,58,51,41,39,36,28,37,17,13,31,31,9,19,15,8,7,2,1,0,1,Cutey
83,74,59,72,59,46,53,47,27,44,31,18,23,19,10,21,18,5,17,13,8,7,2,1,0,0,Cutey
77,53,61,58,56,43,59,34,40,26,24,16,21,19,15,19,20,6,12,9,14,7,0,1,1,0,Cutey
57,74,47,52,50,40,29,32,35,26,16,17,17,13,8,14,12,7,7,11,7,8,0,2,1,1,Cutey
107,92,64,77,89,57,69,38,41,35,41,19,25,26,17,22,42,6,14,8,12,5,3,1,1,0,Cutey
100,99,75,82,58,60,52,37,63,29,31,29,20,25,21,23,19,6,26,18,6,11,3,1,0,0,Cutey
129,86,91,88,75,81,71,63,62,52,44,24,39,18,22,32,27,14,24,20,9,11,2,3,0,2,Cutey
111,80,63,76,72,51,66,43,38,32,30,17,29,26,13,18,29,13,22,22,9,12,3,3,0,2,Cutey
100,98,70,84,61,57,61,60,49,35,35,16,36,26,20,30,19,8,18,8,10,13,1,2,0,0,Cutey
112,119,88,83,96,104,88,46,69,47,41,28,37,17,25,28,36,14,20,24,7,7,0,5,2,0,Cutey
103,112,90,69,88,56,72,55,36,40,40,18,29,24,16,31,24,9,22,10,13,13,4,2,2,0,Cutey
116,100,85,78,78,67,70,58,50,48,36,19,34,19,18,28,21,11,15,8,17,15,2,1,0,2,Cutey
88,68,74,55,61,63,48,32,38,35,32,23,10,16,19,18,18,7,15,20,16,4,1,1,0,0,Cutey
90,85,50,76,56,62,47,45,38,32,19,18,29,7,13,22,15,8,16,6,10,14,2,0,0,0,Cutey
85,84,61,65,63,52,47,45,30,37,29,17,24,16,14,22,20,8,13,11,4,11,2,0,0,1,Cutey
144,125,85,74,103,64,75,42,69,53,30,37,30,31,20,19,32,31,24,20,18,14,1,1,0,0,Davisson
183,133,156,99,123,98,97,99,78,66,45,41,57,42,44,24,26,21,19,18,11,13,4,2,4,4,Davisson
130,103,88,55,90,80,66,47,53,42,39,27,30,20,16,21,27,21,27,16,16,14,1,0,0,2,Davisson
172,119,95,122,106,105,89,87,65,59,49,37,25,26,27,23,26,25,37,24,9,12,2,0,1,1,Davisson
177,123,155,82,127,102,87,86,81,73,47,49,39,62,29,24,40,24,20,16,30,11,1,7,7,0,Davisson
163,138,113,95,93,91,84,79,62,71,53,41,35,23,39,23,14,24,14,14,11,7,2,4,1,2,Davisson
119,94,75,64,76,70,41,39,55,52,32,35,40,16,17,15,14,11,19,22,6,19,2,2,3,1,Davisson
184,153,109,119,93,91,68,87,71,68,54,38,48,38,37,34,24,31,34,26,21,19,5,1,0,1,Davisson
164,122,116,110,102,93,114,88,68,60,55,38,41,33,28,32,21,28,21,17,12,22,2,8,6,6,Davisson
171,143,105,128,104,93,102,75,73,53,56,37,40,34,32,27,41,33,19,31,27,18,1,5,1,1,Davisson
139,129,111,106,121,79,97,104,70,51,48,29,41,38,29,29,35,22,22,31,11,26,3,4,0,5,Davisson
164,122,96,91,116,84,81,75,78,47,51,29,51,38,29,29,29,14,28,18,18,18,3,1,0,0,Davisson
117,94,82,74,82,71,53,57,43,48,33,33,35,26,30,22,21,25,22,19,6,12,2,2,2,1,Davisson
158,122,134,88,98,98,75,90,71,56,46,46,46,34,46,19,25,26,31,22,11,13,0,3,2,1,Davisson
157,101,133,88,99,90,91,80,41,44,51,45,32,35,24,22,30,34,13,29,9,13,3,6,0,1,Davisson
104,117,98,90,78,54,72,44,50,58,47,29,31,27,20,16,23,23,20,23,12,10,3,2,1,2,Davisson
129,90,74,99,67,65,64,60,41,51,41,25,43,28,20,17,54,18,14,25,8,16,0,3,0,1,Davisson
113,99,87,65,74,81,72,42,55,40,38,23,32,17,18,14,24,27,13,18,9,10,3,7,0,0,Davisson
166,114,136,91,120,105,96,98,62,54,52,51,55,39,30,31,30,27,14,24,16,35,4,7,3,2,Davisson
162,158,119,105,96,63,72,67,77,63,35,25,44,35,33,28,29,23,40,27,15,17,4,4,2,0,Davisson
178,134,107,108,108,123,98,97,81,48,50,34,46,35,30,18,28,19,18,24,14,15,7,13,6,0,Davisson
129,94,98,81,84,86,71,76,55,51,43,37,31,20,17,25,23,17,35,19,13,8,2,2,1,2,Davisson
148,126,103,129,112,89,90,60,57,67,53,47,42,31,48,24,28,32,19,26,22,36,3,5,1,4,Davisson
92,83,93,88,76,63,54,45,34,40,48,18,32,26,31,15,30,16,18,18,17,10,3,2,2,1,Davisson
159,134,133,108,109,71,105,72,69,59,38,41,44,23,26,46,29,24,27,24,10,33,6,21,0,0,Davisson
128,99,85,88,79,83,60,66,44,42,26,26,41,20,20,26,13,41,15,31,14,15,1,4,1,1,Davisson
131,124,87,92,69,69,52,64,71,44,41,35,38,28,26,24,33,22,16,32,3,12,3,4,1,1,Davisson
133,80,95,54,71,65,68,61,43,39,25,27,14,29,19,18,29,20,14,16,13,9,1,5,1,0,Davisson
129,94,98,81,84,86,71,76,55,51,43,37,31,20,17,25,23,17,35,19,13,8,2,2,1,2,Davisson
147,122,113,84,118,104,98,71,69,82,35,33,45,34,36,15,26,24,26,13,14,14,4,5,6,2,Davisson
133,106,113,103,83,98,79,67,65,53,48,35,37,43,28,28,35,23,18,23,14,7,3,4,0,0,Davisson
141,122,107,72,102,86,50,62,62,70,30,52,41,29,27,21,34,22,18,13,13,17,3,1,2,1,Davisson
152,127,130,89,123,110,104,54,80,57,31,58,45,43,24,27,53,23,17,12,19,25,2,2,1,0,Davisson
89,84,87,63,72,62,53,50,41,36,38,25,26,12,20,22,27,9,20,28,4,9,1,3,2,2,Davisson
192,143,125,107,120,103,100,82,83,60,50,37,34,35,30,21,31,26,29,12,20,23,5,0,0,1,Davisson
154,101,120,93,83,78,94,79,53,50,40,32,34,23,22,27,34,27,18,22,18,9,1,8,3,0,Davisson
132,103,135,77,102,71,100,59,65,52,30,48,29,24,22,30,26,32,24,14,20,11,3,2,0,0,Davisson
112,64,64,57,70,61,51,47,36,47,39,34,24,25,17,14,13,16,12,15,10,22,1,2,0,2,Davisson
97,75,75,75,70,47,69,41,47,37,24,18,21,34,16,25,38,16,22,9,14,6,1,1,0,1,Davisson
104,102,79,79,70,52,50,50,52,37,26,22,30,17,17,14,27,24,15,15,11,7,1,3,6,0,Davisson
111,96,88,76,81,79,55,46,46,47,23,41,59,19,20,24,17,23,10,20,13,9,1,10,9,3,Davisson
152,126,90,112,99,76,65,55,68,43,42,36,23,30,21,20,29,19,33,22,15,31,2,1,0,3,Davisson
95,100,87,75,64,42,60,43,47,34,32,35,27,27,19,19,25,14,19,17,2,14,0,1,1,3,Davisson
106,95,90,57,71,70,51,46,43,59,21,33,29,25,18,12,22,19,15,19,8,8,0,3,2,0,Davisson
141,112,68,79,69,52,73,56,61,38,24,41,52,31,23,22,21,21,18,27,11,14,2,2,2,2,Davisson
120,80,91,74,77,54,61,56,63,35,31,30,22,31,24,11,12,14,24,14,14,12,0,1,0,2,Davisson
146,104,102,87,102,77,90,58,52,53,31,36,34,37,45,19,20,23,26,9,12,17,3,5,0,4,Davisson
120,91,102,71,68,83,83,42,54,43,34,25,29,29,12,21,37,19,18,15,11,8,0,2,1,0,Davisson
103,101,80,74,72,71,56,43,55,43,22,42,40,20,17,24,14,12,8,7,9,6,1,0,0,0,Davisson
112,80,76,77,71,65,64,51,54,32,36,23,28,19,17,20,21,13,19,15,13,7,2,2,1,1,Davisson
142,117,86,89,71,82,57,59,51,41,40,22,33,34,33,39,18,22,12,27,18,6,3,0,0,0,Dent
169,126,89,110,99,96,106,66,49,56,55,39,57,48,32,30,24,20,23,25,13,7,5,1,0,0,Dent
185,126,107,86,86,92,82,66,70,38,41,34,32,31,22,25,23,26,31,18,10,11,10,0,0,1,Dent
135,128,98,104,74,76,69,57,48,34,37,42,39,16,36,23,15,26,19,15,4,9,1,3,1,1,Dent
121,88,65,76,61,61,55,51,36,33,30,29,22,17,18,19,18,27,8,9,21,6,4,0,1,0,Dent
82,62,41,61,42,38,35,39,25,23,19,23,27,9,15,15,16,15,5,8,16,3,2,0,1,0,Dent
102,57,32,50,37,52,45,38,23,24,25,16,26,13,15,12,11,17,14,18,9,9,0,2,1,0,Dent
104,70,56,58,48,68,53,46,32,40,25,27,33,14,14,23,7,16,13,19,14,14,1,0,2,0,Dent
197,133,150,109,122,109,90,100,68,55,51,58,45,51,23,34,18,39,32,43,22,14,2,0,9,6,Dent
175,128,137,99,93,102,95,87,59,63,40,62,42,42,42,24,24,30,24,43,8,10,5,1,5,3,Dent
121,103,82,83,78,67,64,56,46,52,31,26,34,22,16,27,18,28,19,18,11,12,1,0,1,4,Dent
118,107,76,95,53,54,52,54,52,54,27,27,33,22,21,42,17,18,18,18,7,18,0,1,0,1,Dent
98,87,107,74,65,59,76,51,45,55,36,25,23,33,29,26,25,20,14,23,9,18,1,0,7,0,Dent
143,112,69,89,75,69,71,68,49,44,51,27,50,32,11,24,36,22,22,16,15,7,4,0,0,2,Dent
160,128,108,133,88,78,97,70,63,38,47,51,53,33,28,23,31,36,17,30,11,8,2,3,0,0,Dent
110,103,88,81,65,59,58,61,49,41,31,30,35,25,26,23,15,21,24,17,9,8,2,0,2,0,Dent
161,148,113,104,121,82,86,76,67,69,53,48,37,27,25,39,31,22,26,28,18,25,0,1,1,2,Dent
137,93,86,74,65,75,75,84,45,32,25,30,40,16,32,26,14,22,16,17,18,7,4,2,1,4,Dent
113,88,81,58,62,64,43,42,43,41,28,23,23,18,18,19,24,19,10,18,12,7,1,2,2,5,Dent
112,88,72,73,78,53,53,59,48,41,38,35,32,21,16,30,23,23,36,4,4,17,1,2,0,3,Dent
88,88,65,74,69,46,51,57,38,34,22,33,38,14,26,26,30,27,6,9,5,8,0,3,0,2,Dent
91,74,63,65,67,45,46,52,41,42,35,32,28,19,12,27,17,20,30,4,3,16,0,1,0,3,Dent
117,97,78,89,78,96,74,49,53,57,34,27,28,22,15,25,33,16,21,22,8,11,5,2,0,0,Dent
117,97,78,89,78,96,74,49,53,57,34,27,28,22,15,25,33,16,21,22,8,11,5,2,0,0,Dent
179,142,117,107,85,92,79,104,69,62,47,38,35,36,40,26,27,30,22,34,14,8,3,2,0,1,Dent
107,89,67,66,58,54,62,48,48,23,34,17,14,25,16,18,16,15,25,21,8,7,0,0,0,0,Dent
107,89,67,66,58,54,62,48,48,23,34,17,14,25,16,18,16,15,25,21,8,7,0,0,0,0,Dent
114,116,94,64,99,80,65,44,58,30,57,33,35,25,17,22,12,21,20,21,14,6,4,0,1,1,Dent
114,116,94,64,99,80,65,44,58,30,57,33,35,25,17,22,12,21,20,21,14,6,4,0,1,1,Dent
136,99,73,86,74,65,68,56,53,41,39,32,39,26,32,23,12,37,23,17,14,12,6,1,3,2,Dent
114,116,94,64,99,80,65,44,58,30,57,33,35,25,17,22,12,21,20,21,14,6,4,0,1,1,Dent
72,85,68,59,57,54,54,28,27,28,29,19,25,29,10,19,15,20,18,20,6,3,3,2,2,2,Dent
136,109,96,82,88,70,65,58,51,43,32,42,39,38,20,47,28,27,15,18,10,14,2,1,2,1,Dent
72,82,49,63,64,31,41,50,43,29,19,29,26,13,19,17,30,22,13,6,3,9,2,3,0,2,Dent
124,98,99,72,88,67,71,58,42,64,50,25,23,31,26,29,31,16,25,16,14,11,0,3,5,0,Dent
119,95,69,87,60,64,60,54,41,30,26,32,30,25,37,18,12,18,18,30,12,10,0,2,2,1,Dent
173,143,104,93,102,79,87,84,73,56,68,40,35,25,30,43,33,28,21,24,26,9,2,2,3,2,Dent
123,105,87,84,97,94,73,72,53,64,26,32,23,32,11,33,33,20,16,25,12,25,0,1,1,1,Dent
70,62,54,35,42,41,24,29,26,31,23,25,14,9,11,19,13,16,13,9,4,7,5,0,0,0,Dent
90,70,53,62,49,55,42,43,29,32,21,23,27,10,13,14,18,25,8,8,15,3,3,0,0,0,Dent
123,87,64,83,59,58,59,64,42,45,32,14,15,23,24,18,20,20,24,11,8,15,4,0,0,0,Dent
128,89,72,75,54,77,49,47,37,39,34,31,25,20,21,19,19,27,17,18,11,6,2,0,1,1,Dent
140,125,76,99,110,87,89,50,53,54,42,24,31,22,21,20,21,33,24,30,11,11,2,0,2,2,Dent
166,158,126,114,99,111,82,85,77,44,46,48,49,27,31,30,17,35,33,31,15,13,3,0,1,1,Dent
112,96,113,62,68,50,45,71,31,42,42,39,17,22,15,22,16,22,17,18,16,6,2,2,1,2,Dent
121,99,75,53,69,62,49,41,41,37,18,23,12,27,31,19,16,17,22,7,14,9,2,0,4,1,Dent
127,120,81,58,57,66,76,52,46,47,29,25,27,19,14,22,22,19,33,14,7,4,5,0,1,0,Dent
101,85,69,85,58,81,46,48,45,51,30,26,34,35,15,17,16,15,15,15,7,15,1,1,1,1,Dent
172,141,120,90,124,91,83,72,77,66,52,39,40,41,21,37,19,23,33,53,19,17,3,0,1,1,Dent
130,109,103,104,85,66,75,55,45,45,46,32,54,35,24,54,34,19,16,12,16,9,2,2,0,1,Dent
129,107,81,76,98,50,67,63,51,67,35,22,24,38,18,18,32,25,27,18,14,3,4,0,0,0,Engineer
124,97,130,80,70,81,49,69,75,49,29,64,34,30,16,36,27,37,15,18,20,10,0,2,0,0,Engineer
129,87,126,70,67,75,43,66,71,46,30,61,30,27,17,36,26,31,17,18,16,10,1,2,0,0,Engineer
92,57,91,42,48,52,25,52,41,40,21,34,13,21,13,20,14,12,9,6,17,2,0,2,1,0,Engineer
108,75,90,61,44,34,34,66,53,61,31,52,20,21,16,10,16,25,8,18,10,11,0,1,0,0,Engineer
137,82,97,52,53,55,42,71,77,52,30,61,24,24,13,23,37,26,15,9,5,7,2,0,0,0,Engineer
69,45,77,39,33,43,19,42,35,33,14,31,8,15,11,20,12,10,8,4,13,3,1,0,1,0,Engineer
129,99,95,67,69,76,41,63,80,50,34,54,30,21,21,28,31,23,16,12,7,4,2,0,1,2,Engineer
103,76,96,39,68,65,57,65,53,53,29,49,34,20,11,9,31,14,8,12,7,7,0,2,1,1,Engineer
143,106,115,65,91,105,49,69,58,47,52,55,37,51,35,18,17,21,18,28,13,8,4,2,1,3,Engineer
143,106,115,65,91,105,49,69,58,47,52,55,37,51,35,18,17,21,18,28,13,8,4,2,1,3,Engineer
132,71,107,80,60,77,51,86,56,65,23,54,31,32,22,24,23,25,13,11,13,5,2,1,0,5,Engineer
149,113,139,73,99,115,91,95,63,41,64,78,45,56,27,25,24,34,24,33,13,10,4,4,0,0,Engineer
142,110,117,93,112,80,94,73,49,69,39,42,47,43,29,32,24,19,16,17,15,14,3,1,0,3,Engineer
141,110,117,93,111,80,94,73,49,68,39,42,47,42,29,32,24,19,16,17,15,14,3,1,0,3,Engineer
139,79,114,70,62,62,57,68,63,74,32,57,27,21,15,27,24,25,13,13,9,4,2,0,5,3,Engineer
172,132,121,78,87,83,72,82,54,66,33,58,43,27,23,40,26,26,13,28,14,12,4,5,1,1,Engineer
180,137,119,80,90,83,76,86,55,67,33,60,43,27,24,41,27,27,15,32,13,13,4,4,1,1,Engineer
174,136,140,89,102,92,77,139,62,43,88,77,37,51,25,23,24,33,25,31,13,8,8,0,1,1,Engineer
134,89,110,42,66,73,67,83,37,34,71,46,21,38,25,17,13,16,14,18,11,10,9,1,1,2,Engineer
162,125,130,106,97,87,61,115,53,76,37,59,51,31,39,29,22,52,38,11,40,11,1,2,0,1,Engineer
91,77,49,41,58,43,44,56,35,42,20,28,37,23,18,11,15,9,7,22,5,1,2,0,0,1,Engineer
73,75,42,51,71,47,49,46,39,22,26,18,24,29,16,18,21,12,8,14,7,2,2,1,0,2,Engineer
125,107,83,66,92,83,59,63,55,57,30,43,30,28,29,17,11,19,15,18,9,9,10,1,3,3,Engineer
111,61,72,56,67,60,52,67,51,69,37,56,21,25,17,28,14,21,12,15,9,4,2,1,0,0,Engineer
109,78,102,54,64,61,51,67,50,49,32,57,36,22,18,19,28,13,10,13,13,4,4,1,0,1,Engineer
109,59,71,54,67,58,52,67,50,66,37,55,20,25,17,27,14,21,12,14,9,4,2,1,0,0,Engineer
170,103,125,89,93,74,82,85,66,76,41,68,38,20,23,28,32,35,19,18,17,10,2,1,2,5,Engineer
143,126,107,112,86,73,74,84,38,81,34,56,44,22,20,29,17,48,14,14,28,4,3,1,0,1,Engineer
144,123,118,107,90,84,71,102,45,58,40,50,40,26,38,31,24,37,21,11,39,5,0,0,0,2,Engineer
110,95,92,76,82,63,50,69,43,57,24,38,37,37,21,17,19,15,15,18,9,5,2,2,2,0,Engineer
125,96,135,93,80,52,64,73,62,91,44,59,24,25,21,31,24,36,16,18,9,6,0,3,1,1,Engineer
127,91,119,64,66,58,50,76,68,52,38,50,24,19,20,27,23,24,13,25,11,10,2,1,0,1,Engineer
96,49,69,48,38,41,32,42,45,39,24,31,6,22,15,17,13,14,14,4,8,11,4,0,0,0,Engineer
141,98,147,102,79,58,66,74,69,89,45,61,28,31,22,31,25,36,16,23,11,6,0,3,1,0,Engineer
110,81,82,56,48,53,45,56,55,38,25,51,22,24,15,17,24,17,18,11,11,9,4,1,0,0,Engineer
113,93,85,85,49,62,58,73,53,48,24,45,38,21,14,25,19,25,20,15,9,6,0,1,0,0,Engineer
74,52,43,38,33,41,30,37,39,24,18,25,20,6,8,11,21,21,7,7,7,4,1,0,0,0,Engineer
91,69,43,35,54,79,39,45,36,39,25,19,30,29,21,7,14,11,5,7,7,0,4,1,5,0,Engineer
105,86,107,61,54,70,38,64,61,50,23,54,37,34,21,21,20,9,17,16,7,8,1,2,1,0,Engineer
105,86,107,61,54,70,38,64,61,50,23,54,37,34,21,21,20,9,17,16,7,8,1,2,1,0,Engineer
172,119,160,100,86,99,77,82,81,110,30,107,46,28,28,35,31,42,15,15,10,8,4,2,4,1,Engineer
174,121,161,103,86,100,78,85,80,109,43,93,49,29,28,36,31,42,14,16,11,8,4,2,4,2,Engineer
115,99,91,74,67,63,59,61,60,49,27,60,24,23,19,23,26,22,12,28,6,6,4,2,0,1,Engineer
152,108,73,115,89,98,74,84,55,59,29,38,53,37,28,32,16,21,31,20,14,6,5,2,3,0,Engineer
134,77,112,81,51,70,61,75,58,56,30,57,29,35,28,30,25,23,8,21,6,11,2,2,0,2,Engineer
